@relation 'ObesityDataSet_raw_and_data_sinthetic-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R14-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(-inf-1.666667]\':Nunca-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(1.666667-2.333333]\':As vezes, \'(2.333333-inf)\':Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N\'(-inf-2]\':Entre uma e duas, \'(2-3]\':Tres, \'(3-inf)\':Mais de tres-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N\'(-inf-0.75]\':Nao pratica, \'(0.75-1.5]\':Um a dois dias na semana, \'(1.5-2.25]\':Dois a  quatro dias na semana, \'(2.25-inf)\':Quatro a cinco dias na semana-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.6666667]\':Zero a duas horas por dia, \'(0.666667-1.333333]\':Tres a cinco horas por dia, \'(1.333333-inf)\':Mais de cinco horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.666667]\':Zero a duas horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R15-Nno:Nao consome, Sometimes:As vezes, Frequently:Com frequencia, Always:Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R16-NPublic_Transportation:Transporte publico, Walking:A pe, Automobile:Automovel, Motorbike:Moto, Bike:Bicicleta-weka.filters.unsupervised.attribute.RenameNominalValues-R1-NFemale:Feminino, Male:Masculino-weka.filters.unsupervised.attribute.RenameNominalValues-R5-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R6-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R10-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R12-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NNormal_Weight:Peso Normal, Overweight_Level_I: Sobrepeso level 1, Overweight_Level_II: Sobrepeso level 2, Obesity_Type_I: Obesidade tipo 1, Obesity_Type_II: Obesidade tipo 2, Obesity_Type_II: Obesidade Tipo 3, Insufficient_Weight: Abaixo do peso-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NObesidade Tipo 3: Obesidade tipo 2, Obesity_Type_III: Obesidade tipo 3-weka.filters.unsupervised.attribute.RenameNominalValues-R9-NSometimes: As vezes, Frequently:Com frequencia, Always:Sempre, no:Nunca-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-1.666667]\':Menos de um litro, \'(1.666667-2.333333]\':Entre um e dois litros, \'(2.333333-inf)\':Mais de dois litros-weka.filters.unsupervised.attribute.MathExpression-EA4/(A3*A3)-R1-2,5-17-weka.filters.unsupervised.attribute.Remove-R4'

@attribute Genero_de_Nascimento {Feminino,Masculino}
@attribute Idade numeric
@attribute IMC numeric
@attribute Tem_historico_de_sobrepeso_familiar {Sim,Nao}
@attribute Come_comidas_caloricas_com_frequencia {Nao,Sim}
@attribute Come_vegetais_nas_refeicoes {Nunca,'As vezes',Sempre}
@attribute Quantidade_de_refeicoes_diarias {'Entre uma e duas',Tres,'Mais de tres'}
@attribute Come_entre_as_refeicoes {'As vezes','Com frequencia',Sempre,Nunca}
@attribute Fuma {Nao,Sim}
@attribute Consumo_de_agua_diario {'Menos de um litro','Entre um e dois litros','Mais de dois litros'}
@attribute Monitora_as_calorias_ingeridas {Nao,Sim}
@attribute Frequencia_de_atividade_fisica {'Nao pratica','Um a dois dias na semana','Dois a  quatro dias na semana','Quatro a cinco dias na semana'}
@attribute Tempo_gasto_com_dispositivos_tecnologicos {'Zero a duas horas por dia','Tres a cinco horas por dia','Mais de cinco horas por dia'}
@attribute Frequencia_de_consumo_de_alcool {'Nao consome','As vezes','Com frequencia',Sempre}
@attribute Meio_de_transporte {'Transporte publico','A pe',Automovel,Moto,Bicicleta}
@attribute Classificacao {'Peso Normal','Sobrepeso level 1','Sobrepeso level 2','Obesidade tipo 1','Abaixo do peso','Obesidade tipo 2','Obesidade tipo 3'}

@data
Feminino,21.571288,26.555161,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.165574,26.32984,Sim,Sim,Nunca,'Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.560369,Nao,Sim,'As vezes',Tres,Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.713254,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,38.692265,26.009681,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,38.952866,25.550768,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,36.631456,26.583025,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,21.996118,26.38875,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.951309,26.200064,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,22.018228,26.430876,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.672763,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.672763,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.672763,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,29.934465,25.783959,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,31.166572,25.418114,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,20.534606,25.702717,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,19.97166,25.614147,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,19.627,25.882784,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21.929387,26.011226,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.009437,26.250254,Sim,Sim,'As vezes','Mais de tres',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.538225,26.222817,Sim,Sim,'As vezes','Mais de tres',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,22.828435,25.685304,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,22.814657,25.695003,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,19.576682,26.566976,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.814653,25.843394,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.979769,25.830845,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21,25.358784,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,21.0285,25.912043,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,18.721041,25.409884,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Masculino,21,25.521807,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21,26.147201,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,29.463168,25.853191,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Masculino,24.284861,26.091406,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Masculino,26.288417,26.461132,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Masculino,23.455324,25.874911,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,19.637203,25.917468,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,22.239836,25.558144,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,31.62638,26.266511,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Masculino,23,25.93558,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,22.874658,25.831026,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,17.420269,24.171508,Nao,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,17.807828,24.222805,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Sim,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,16.240576,24.898006,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Menos de um litro',Sim,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,23.252457,25.77382,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,34.772902,26.178677,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Masculino,22.766227,25.555703,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,39.214514,25.064403,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Masculino,19.858973,26.510942,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,16.370009,25.622037,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Sim,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,17.992717,25.645088,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Sim,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Masculino,19.179932,26.104525,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,19.621545,25.108421,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Sim,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,19.755797,26.844143,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Sim,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,17.099015,25.390625,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,17.25813,25.384786,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,29.153907,27.677759,Nao,Sim,Nunca,'Mais de tres','As vezes',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Sobrepeso level 1'
Feminino,32.278869,27.366923,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Feminino,31.793937,27.10645,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 1'
Masculino,18.014333,26.091756,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Com frequencia','Transporte publico','Sobrepeso level 1'
Masculino,19.685,26.484471,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,19.506389,26.334091,Sim,Sim,Sempre,'Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Feminino,19,25.616355,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,18,25.934238,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,18.003153,25.332358,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 1'
Feminino,18.052394,25.524114,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 1'
Feminino,19.774317,27.255733,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,21.180346,28.377573,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,21.793724,28.930218,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,20.880161,28.537073,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,21.18354,27.229541,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,32.774488,27.723617,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','A pe','Sobrepeso level 2'
Masculino,31.327609,27.320211,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Sobrepeso level 2'
Masculino,29.956198,28.322647,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 2'
Masculino,21.403421,27.158109,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,22.591439,29.384757,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,28.583944,26.294801,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,38.825189,27.018797,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 2'
Masculino,35.217173,27.566747,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes',Automovel,'Sobrepeso level 2'
Feminino,20.392665,28.035577,Sim,Nao,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,22.154854,27.9559,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,19.108796,28.071296,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,20.70768,28.298983,Sim,Nao,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,20.634694,27.612088,Sim,Nao,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,22.052152,28.008132,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,22.869778,27.882357,Sim,Sim,Nunca,'Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,22.909992,27.680423,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,23,28.896224,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,24.679807,29.303652,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,23.884212,28.582691,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,25.461411,27.008985,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,31.333798,27.031693,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,24.108711,27.945124,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,28.830558,26.989619,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Com frequencia',Automovel,'Sobrepeso level 2'
Masculino,17.570089,28.788593,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,19.027574,28.046198,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,25.632447,28.506939,Sim,Sim,Nunca,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,22.94313,28.114333,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,23.285553,28.912179,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,23,28.030508,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,25.19291,27.941058,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 2'
Masculino,34.389906,29.570824,Sim,Sim,'As vezes','Entre uma e duas','As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Feminino,26.595893,28.488629,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Com frequencia','Transporte publico','Sobrepeso level 2'
Masculino,55.24625,25.713513,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Masculino,34.543563,27.279537,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Masculino,21.808159,29.384757,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,18.118277,29.216052,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,42.189023,29.156995,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome',Automovel,'Sobrepeso level 2'
Masculino,22,28.15551,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,28.770852,27.675811,Sim,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,25.483381,26.467461,Sim,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,21.67315,28.289924,Sim,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
